접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,구조위도(TM구조위도),구조경도(TM구조경도),방생위도(TM방생위도),방생경도(TM방생경도),등록체중,현재체중,임상적최종진단
2019-1450,오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2019-09-24,2019-10-10,방생,충청남도 천안시,,Unknown,Juvenile,,,,,,,충청남도 계룡시,건물옆,전선/건물과의 충돌,아파트 유리창 충돌,,,,,58,50,충돌에 의한 내부 장기 손상(추정) 및 척추 손상 의심
2019-1216,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-07-29,2019-07-29,안락사,,기타,Unknown,Juvenile,36.286111,127.239694,141,,,(엄사중앙로 65-9) 주소지 부근 건물 옆  ,충청남도 계룡시 엄사면 엄사리 367,건물옆,전선/건물과의 충돌,충돌 추정,36 17 10.0,127 14 22.9,,,118,118,척추 골절
2019-0376,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-05-08,2019-05-08,DOA,,기타,Unknown,Juvenile,,,,,,,충청남도 계룡시,도로변,어미를 잃음(미아),미아,,,,,110,110,미아 개체
2019-0893,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-06-27,2019-07-11,폐사,,기타,Unknown,Nestling,,,,,,,충청남도 계룡시,건물옆,어미를 잃음(미아),미아,,,,,8,11,미아
2019-0341,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-05-03,2019-05-23,방생,충청남도 예산군,,Unknown,Nestling,,,,,,,충청남도 계룡시,건물옆,어미를 잃음(미아),"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 ",,,,,9,17,"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 "
2019-0342,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-05-03,2019-05-17,폐사,,기타,Unknown,Nestling,,,,,,,충청남도 계룡시,건물옆,어미를 잃음(미아),"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 ",,,,,9,10,"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 "
2019-0343,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-05-03,2019-05-23,방생,충청남도 예산군,,Unknown,Nestling,,,,,,,충청남도 계룡시,건물옆,어미를 잃음(미아),"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 ",,,,,9,16,"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 "
2019-0344,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-05-03,2019-05-23,방생,충청남도 예산군 예산읍 대회리 1,,Unknown,Nestling,36.287833,127.229778,135,36.67008139,126.8596661,(번영11길 3) 엄사중학교 교내,충청남도 계룡시 엄사면 엄사리 396-9,건물옆,어미를 잃음(미아),"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 ",36 17 16.2,127 13 47.2,36 40 13.4,126 51 45.7,9,18,"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 "
2019-0345,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-05-03,2019-05-23,방생,충청남도 예산군 예산읍 대회리 1,,Unknown,Nestling,36.287833,127.229778,135,36.67008139,126.8596661,(번영11길 3) 엄사중학교 교내,충청남도 계룡시 엄사면 엄사리 396-9,건물옆,어미를 잃음(미아),"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 ",36 17 16.2,127 13 47.2,36 40 13.3,126 51 45.7,9,18,"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 "
2019-0346,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-05-03,2019-05-23,방생,충청남도 예산군 예산읍 대회리 1,,Unknown,Nestling,36.287833,127.229778,135,36.67008139,126.8596661,(번영11길 3) 엄사중학교 교내,충청남도 계룡시 엄사면 엄사리 396-9,건물옆,어미를 잃음(미아),"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 ",36 17 16.2,127 13 47.2,36 40 13.4,126 51 45.7,9,14,"인공구조물을 철거하는 과정에서 둥지가 훼손, 어미를 잃음 "
2019-0905,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-06-28,2019-06-28,DOA,,기타,Unknown,Nestling,36.31725,127.240306,142,,,계룡대 내부(군사보안시설이라 자세한 위치 파악 불가),충청남도 계룡시 신도안면 용동리 277-2 ,건물옆,어미를 잃음(미아),"둥지에서 이탈, 어미를 잃음 ",36 19 02.1,127 14 25.1,,,5,5,둥지에서 추락한 개체
2019-1053,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2019-07-15,2019-07-15,DOA,,기타,Unknown,Nestling,36.280306,127.237722,144,,,아파트 단지 부근 건물 옆 나무 아래 ,충청남도 계룡시 엄사면 유동리 14-6,건물옆,추락,둥지에서 추락하면서 외상이 발생 ,36 16 49.1,127 14 15.8,,,66,66,우측 둔부 등쪽 열상
2019-1063,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2019-07-16,2019-07-18,방생,충청남도 계룡시 두마면 두계리 62-31,,Unknown,Juvenile,36.269806,127.2695,108,36.26960274,127.2684227,두마초등학교 운동장,충청남도 계룡시 두마면 두계리 60-1,건물옆,어미를 잃음(미아),어미를 잃음 ,36 16 11.3,127 16 10.2,36 16 11.9,127 16 06.4,112,108,미아
2019-1135,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2019-07-24,2019-07-24,안락사,,기타,Unknown,Juvenile,36.270333,127.248278,130,,,(장안로 75) 아파트 단지 내,충청남도 계룡시 금암동 167-1,건물옆,전선/건물과의 충돌,인공구조물과의 충돌 추정 ,36 16 13.2,127 14 53.8,,,124,124,척추 골절
2019-1636,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-11-18,2019-11-18,안락사,,기타,Male,2년6월0일,,,,,,,충청남도 계룡시,도로변,알 수 없는 사고,원인파악 불가,,,,,19840,19840,좌측 고관절 탈구 및 우측 슬관절 탈구
2019-1741,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-12-20,2019-12-20,안락사,,기타,Male,4년6월0일,,,,,,,충청남도 계룡시,기타,추락,철도터널 위에서 추락한 것으로 추정됨,,,,,14260,14260,천추 뒤틀림 및 흉추 주위 연조직 화농성 염증
2019-0005,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-01-02,2019-01-18,폐사,,기타,Male,0년9월0일,,,,,,,충청남도 계룡시,건물옆,덫,"개선충 중감염 개체, 목에는 올무가 걸린 상태",,,,,4040,3840,개선충 중감염 및 올무에 의한 경부 마찰성 손상(avulsion)
2019-0158,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-03-21,2019-03-25,폐사,,기타,Male,0년10월0일,36.286889,127.229556,127,,,엄사중학교 주변,충청남도 계룡시 엄사면 엄사리 396-9,건물옆,기생충 중감염,개선충 중감염,36 17 12.8,127 13 46.4,,,3400,3400,개선충 중감염
2019-1663,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-11-25,2019-11-25,안락사,,기타,Female,0년7월0일,36.300056,127.229028,177,,,도로변,충청남도 계룡시 신도안면 정장리 273 ,도로변,기타,기타(선천적 기형),36 18 00.2,127 13 44.5,,,1760,1760,사지의 선천적 골기형
2020-0873,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2020-06-15,2020-07-16,폐사,,기타,Unknown,Nestling,36.267194,127.25625,126,,,신성미소지움아파트,충청남도 계룡시 금암동 74,기타,어미를 잃음(미아),미아,36 16 01.9,127 15 22.5,,,25,550,미아
2020-0565,집비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2020-05-18,2020-05-18,안락사,,기타,Unknown,Unknown,36.286278,127.242139,134,,,성원철물 앞,충청남도 계룡시 엄사면 엄사리 282,건물옆,"개, 고양이 공격",고양이 공격 추정,36 17 10.6,127 14 31.7,,,252,252,다발성 교상
