접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1108,청딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2019-07-20,2019-08-11,폐사,,기타,Unknown,Adult,,,,,,,충청남도 공주시,건물옆,전선/건물과의 충돌,인공구조물과의 충돌 추정 ,,,,,116,100,등쪽 둔부 타격에 의한 타박상 및 내상
2019-0904,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-06-28,2019-07-08,안락사,,기타,Unknown,Nestling,,,,,,,충청남도 공주시,숲,전선/건물과의 충돌,인공구조물과의 충돌 추정,,,,,132,144,우측 요골 폐쇄골절 및 경비골 원위부 개방골절
2019-0910,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-06-28,2019-07-01,폐사,,기타,Unknown,Juvenile,36.462944,127.110194,34,,,공주한옥마을 내 역사박물관 주변,충청남도 공주시 웅진동 325-11  ,건물옆,어미를 잃음(미아),미아(둥지추락),36 27 46.6,127 06 36.7,,,38,34,둥지에서 추락
2019-1548,큰부리까마귀,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-10-23,2019-10-24,DOA,,기타,Unknown,Unknown,36.357333,127.23575,172,,,,충청남도 공주시 반포면 학봉리 718-2,건물옆,알 수 없는 사고,,36 21 26.4,127 14 08.7,,,278,278,수척-괴사성장염(추정)
2019-0530,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-05-23,2019-05-23,방생,충청남도 공주시 금흥동 628,,Unknown,Nestling,36.478556,127.150889,26,36.47844651,127.1511779,(무령로 599-40) 홍화아파트 단지 내,충청남도 공주시 금흥동 628  ,건물옆,어미를 잃음(미아),어미를 잃은 것으로 오인해 신고,36 28 42.8,127 09 03.2,36 28 42.9,127 09 03.3,0,0,어미를 잃은 것으로 오인해 신고한 정상 개체
2019-0531,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-05-23,2019-05-23,방생,충청남도 공주시 금흥동 628,,Unknown,Nestling,36.478556,127.150889,26,36.47844651,127.1511779,(무령로 599-40) 홍화아파트 단지 내,충청남도 공주시 금흥동 628  ,건물옆,어미를 잃음(미아),어미를 잃은 것으로 오인해 신고,36 28 42.8,127 09 03.2,36 28 42.8,127 09 03.7,0,0,어미를 잃은 것으로 오인해 신고한 정상 개체
2019-0532,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-05-23,2019-05-23,방생,충청남도 공주시 금흥동 628,,Unknown,Nestling,36.478556,127.150889,26,36.47844651,127.1511779,(무령로 599-40) 홍화아파트 단지 내,충청남도 공주시 금흥동 628  ,건물옆,어미를 잃음(미아),어미를 잃은 것으로 오인해 신고,36 28 42.8,127 09 03.2,36 28 42.7,127 09 03.5,0,0,어미를 잃은 것으로 오인해 신고한 정상 개체
2019-0533,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-05-23,2019-05-23,방생,충청남도 공주시 금흥동 628,,Unknown,Nestling,36.478556,127.150889,26,36.47844651,127.1511779,(무령로 599-40) 홍화아파트 단지 내,충청남도 공주시 금흥동 628  ,건물옆,어미를 잃음(미아),어미를 잃은 것으로 오인해 신고,36 28 42.8,127 09 03.2,36 28 42.9,127 09 03.2,0,0,어미를 잃은 것으로 오인해 신고한 정상 개체
2019-0534,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-05-23,2019-05-23,방생,충청남도 공주시 금흥동 628,,Unknown,Nestling,36.478556,127.150889,26,36.47844651,127.1511779,(무령로 599-40) 홍화아파트 단지 내,충청남도 공주시 금흥동 628  ,건물옆,어미를 잃음(미아),어미를 잃은 것으로 오인해 신고,36 28 42.8,127 09 03.2,36 28 42.7,127 09 03.5,0,0,어미를 잃은 것으로 오인해 신고한 정상 개체
2019-0546,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-05-24,2019-05-27,폐사,,기타,Unknown,Juvenile,,,,,,,충청남도 공주시,도로변,어미를 잃음(미아),도로변에서 걸어다니는 유조 3개체 신고자가 구조,,,,,9,8,미아
