접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1714,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-12-11,2019-12-11,폐사체,,기타,Unknown,Juvenile,36.206139,127.571722,244,,,상곡초등학교,충청남도 금산군 군북면 상곡리 159,건물옆,전선/건물과의 충돌,유리창 충돌,36 12 22.1,127 34 18.2,,,240,240,유리창 충돌 개체
2019-0254,방울새,조강(Aves),참새목,되새과,해당없음,해당없음,해당없음,2019-04-19,2019-04-21,폐사,,기타,Female,Nestling,,,,,,,충청남도 금산군,도로변,추락,이소 과정에서 낙오된 개체 도로변에서 구조됨,,,,,14,11,이소 중 둥지에서 추락하여 낙오된 개체
2019-0121,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-03-06,2019-03-18,방생,충청남도 예산군,,Female,Adult,,,,,,,충청남도 금산군,건물옆,전선/건물과의 충돌,컨테이너 박스 내에 들어간 후 창문에 2~3회 충돌,,,,,15,14,충돌에 의한 뇌진탕
2019-0333,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,폐사체,,기타,Unknown,Nestling,,,,,,,충청남도 금산군,기타,어미를 잃음(미아),인위적인 둥지 이동에 의해 어미를 잃음 ,,,,,3,3,인위적인 둥지 이동에 의해 어미를 잃음 
2019-0334,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,폐사체,,기타,Unknown,Nestling,,,,,,,충청남도 금산군,기타,어미를 잃음(미아),인위적인 둥지 이동에 의해 어미를 잃음 ,,,,,3,3,인위적인 둥지 이동에 의해 어미를 잃음 
2019-0335,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,폐사체,,기타,Unknown,Nestling,,,,,,,충청남도 금산군,기타,어미를 잃음(미아),인위적인 둥지 이동에 의해 어미를 잃음 ,,,,,3,3,인위적인 둥지 이동에 의해 어미를 잃음 
2019-0336,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,폐사체,,기타,Unknown,Nestling,36.200111,127.358722,137,,,(실학로 463) 레미콘 공장 ,충청남도 금산군 진산면 막현리 288,기타,어미를 잃음(미아),인위적인 둥지 이동에 의해 어미를 잃음 ,36 12 00.4,127 21 31.4,,,3,3,인위적인 둥지 이동에 의해 어미를 잃음 
2019-0337,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,폐사체,,기타,Unknown,Nestling,36.200111,127.358722,137,,,(실학로 463) 레미콘 공장 ,충청남도 금산군 진산면 막현리 288,기타,어미를 잃음(미아),인위적인 둥지 이동에 의해 어미를 잃음 ,36 12 00.4,127 21 31.4,,,3,3,인위적인 둥지 이동에 의해 어미를 잃음 
2019-0338,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,폐사체,,기타,Unknown,Nestling,36.200111,127.358722,137,,,(실학로 463) 레미콘 공장 ,충청남도 금산군 진산면 막현리 288,기타,어미를 잃음(미아),인위적인 둥지 이동에 의해 어미를 잃음 ,36 12 00.4,127 21 31.4,,,3,3,인위적인 둥지 이동에 의해 어미를 잃음 
2019-0339,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,폐사체,,기타,Unknown,Nestling,36.200111,127.358722,137,,,(실학로 463) 레미콘 공장 ,충청남도 금산군 진산면 막현리 288,기타,어미를 잃음(미아),인위적인 둥지 이동에 의해 어미를 잃음 ,36 12 00.4,127 21 31.4,,,3,3,인위적인 둥지 이동에 의해 어미를 잃음 
