접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1481,오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2019-10-04,2019-10-04,DOA,,기타,Male,Unknown,,,,,,,충청남도 논산시,건물옆,전선/건물과의 충돌,건물(유리창)과의 충돌 추정,,,,,52,52,충돌에 의한 내부 장기 손상(추정)
2019-0184,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-03-29,2019-03-29,안락사,,기타,Unknown,Juvenile,36.199444,127.091472,11,,,,충청남도 논산시 취암동 1077-9,건물옆,전선/건물과의 충돌,유리창 충돌 추정,36 11 58.0,127 05 29.3,,,190,190,충돌에 의한 다발성 골절
2019-0590,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-05-28,2019-05-30,폐사,,기타,Unknown,Adult,36.216667,127.047861,20,,,(산업단지로5길 23) 주소지 부근 그물,충청남도 논산시 성동면 정지리 568-1 ,농경지,인공구조물에 얽힘,인공구조물 얽힘,36 13 00.0,127 02 52.3,,,216,192,등쪽 피부 열상
2019-0883,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-06-26,2019-06-28,폐사,,기타,Unknown,Nestling,36.185806,127.104167,41,,,(중앙로 192) 내동초등학교 내,충청남도 논산시 내동 162-1  ,건물옆,어미를 잃음(미아),어미를 잃음 ,36 11 08.9,127 06 15.0,,,122,110,우측 경비골 폐쇄골절
2019-0591,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-05-25,2019-06-12,폐사,,기타,Unknown,Juvenile,,,,,,,충청남도 논산시,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,142,120,미아
2019-1467,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-09-27,2019-10-01,폐사,,기타,Unknown,Unknown,36.238389,127.081722,19,,,광석중학교 ,충청남도 논산시 광석면 천동리 642-1,건물옆,전선/건물과의 충돌,유리창 충돌추정,36 14 18.2,127 04 54.2,,,178,164,"양쪽 등 피하기종 및 우안 각막손상, 좌안 부종"
2019-0494,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-05-17,2019-05-20,폐사,,기타,Unknown,Juvenile,36.189056,127.100417,33,,,동신아파트 옆 인도,충청남도 논산시 내동 535 ,도로변,자연적 사고,이소 후 포식자 공격,36 11 20.6,127 06 01.5,,,12,10,이소 후 다른 새의 공격을 받은 개체
2019-1771,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-12-28,2020-01-16,방생,충청남도 예산군 예산읍 대회리 1,,Male,Adult,36.195667,127.086806,12,36.67008139,126.8596661,건물 옆,충청남도 논산시 부창동 600,건물옆,전선/건물과의 충돌,건물(유리창)과의 충돌,36 11 44.4,127 05 12.5,36 40 15.5,126 51 43.4,14,14,충돌에 의한 뇌진탕 및 내부 장기 손상(추정)
2019-1590,상모솔새,조강(Aves),참새목,상모솔새과,해당없음,해당없음,해당없음,2019-11-03,2019-11-04,폐사체,,기타,Female,Unknown,36.181833,127.10375,24,,,리벤하임아파트,충청남도 논산시 내동 1113,건물옆,전선/건물과의 충돌,유리창 충돌,36 10 54.6,127 06 13.5,,,4,4,유리창 충돌 개체
2019-1220,직박구리,조강(Aves),참새목,직박구리과,해당없음,해당없음,해당없음,2019-07-29,2019-08-22,폐사,,기타,Unknown,Juvenile,36.200028,127.088611,11,,,(중앙로 403) 주소지 부근 바닥,충청남도 논산시 취암동 574-4 ,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 12 00.1,127 05 19.0,,,38,34,미아
2019-0680,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-06-06,2019-06-07,DOA,,기타,Unknown,Nestling,36.276,127.112639,42,,,창공아파트,충청남도 논산시 노성면 송당리 185-5,건물옆,어미를 잃음(미아),미아,36 16 33.6,127 06 45.5,,,9,9,저체온
2019-0818,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-06-19,2019-06-19,DOA,,기타,Unknown,Nestling,36.151639,127.024028,8,,,,충청남도 논산시 강경읍 산양리 118-1,건물옆,어미를 잃음(미아),건물 주변에서 추락한 것으로 추정되는 개체 구조,36 09 05.9,127 01 26.5,,,11,11,추락 추정
2019-0757,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2019-06-13,2019-06-13,DOA,,기타,Female,Adult,36.217972,127.273611,107,,,,충청남도 논산시 벌곡면 신양리 474-1,건물옆,전선/건물과의 충돌,휴게소 유리벽에 충돌,36 13 04.7,127 16 25.0,,,0,0,충돌에 의한 내상
2019-1052,후투티,조강(Aves),파랑새목,후투티과,해당없음,해당없음,해당없음,2019-07-15,2019-07-15,DOA,,기타,Unknown,Unknown,36.136528,127.158944,53,,,육곡리 이하 세부주소 정확치 않음,충청남도 논산시 가야곡면 육곡리 177-1,건물옆,전선/건물과의 충돌,인공구조물과의 충돌 추정 ,36 08 11.5,127 09 32.2,,,37,37,충돌에 의한 내상(추정)
2019-1444,후투티,조강(Aves),파랑새목,후투티과,해당없음,해당없음,해당없음,2019-09-24,2019-09-27,안락사,,기타,Male,Adult,36.2085,127.080861,9,,,현정사,충청남도 논산시 대교동 154-14,건물옆,전선/건물과의 충돌,건물 유리창 충돌 추정,36 12 30.6,127 04 51.1,,,74,70,충돌에 의한 우측 상완골/요골 골절 및 우안 손상
2019-0551,대백로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2019-05-25,2019-05-25,DOA,,기타,Unknown,Adult,36.166361,127.201222,32,,,,충청남도 논산시 양촌면 신흥리 354-1,"강, 바다",차량과의 충돌,차량충돌 추정,36 09 58.9,127 12 04.4,,,1356,1356,양측 부척골 개방골절
2019-0315,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-05-02,2019-05-03,DOA,,기타,Male,0년11월0일,36.25025,127.113444,39,,,건물 주차장,충청남도 논산시 광석면 사월리 15-72,건물옆,차량과의 충돌,차량충돌,36 15 00.9,127 06 48.4,,,15240,15240,충돌로 인한 항문 주위 피부 열상
2019-0510,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-05-19,2019-05-24,폐사,,기타,Female,0년11월0일,36.310583,127.133056,29,,,중앙휴게소,충청남도 논산시 상월면 월오리 542,도로변,차량과의 충돌,차량충돌,36 18 38.1,127 07 59.0,,,15080,15080,충돌에 의한 뇌진탕
2019-0592,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-05-28,2019-05-28,안락사,,기타,Male,0년11월0일,36.132583,127.1065,20,,,득안대로 도로,충청남도 논산시 연무읍 동산리 646 ,도로변,차량과의 충돌,차량과의 충돌 ,36 07 57.3,127 06 23.4,,,16580,16580,충돌에 의한 좌측 고관절 탈구 및 척추(L6) 골절
2019-0685,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-06-07,2019-06-15,폐사,,기타,Female,0년1월0일,36.25125,127.22875,71,,,천호4길 도로변,충청남도 논산시 연산면 천호리 산 79,도로변,어미를 잃음(미아),어미를 잃음(미아),36 15 04.5,127 13 43.5,,,796,954,단순 미아
2019-0686,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-06-07,2019-09-09,방생,충청남도 아산시 송악면 동화리 734 ,,Female,0년1월0일,36.25125,127.22875,71,36.73233832,126.9664151,천호4길 도로변,충청남도 논산시 연산면 천호리 산 79,도로변,어미를 잃음(미아),어미를 잃음(미아),36 15 04.5,127 13 43.5,36 43 56.2,126 57 59.0,772,2780,단순 미아
2019-0882,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-06-24,2019-08-01,폐사,,기타,Female,0년1월0일,36.14425,127.118278,25,,,연무읍 죽본리 이하 주소 확실치 않음 ,충청남도 논산시 연무읍 죽본리 276-3,농경지,어미를 잃음(미아),어미를 잃음(미아),36 08 39.3,127 07 05.8,,,852,1500,미아
2019-1009,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-07-09,2019-07-09,방생,충청남도 논산시 양촌면 임화리 산4,,Unknown,0년2월0일,36.119194,127.244139,67,36.11899693,127.2460063,(이메길 145-40) 주소지 부근 농경지,충청남도 논산시 양촌면 임화리 68-3,농경지,어미를 잃음(미아),어미를 잃은 것으로 오인해 구조 ,36 07 09.1,127 14 38.9,36 07 08.6,127 14 45.9,0,0,어미를 잃은 것으로 오인
2019-1428,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-09-16,2019-09-26,폐사,,기타,Male,2년4월0일,36.216139,127.080417,7,,,,충청남도 논산시 광석면 산동리 65-3,도로변,차량과의 충돌,차량충돌 추정,36 12 58.1,127 04 49.5,,,17320,17320,충돌에 의한 뇌진탕 및 우측 고관절 탈구
2019-1493,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-10-07,2019-10-07,안락사,,기타,Female,0년5월0일,36.142806,127.056917,6,,,연무교차로 부근 도로변,충청남도 논산시 연무읍 신화리 607-16,도로변,차량과의 충돌,차량과의 충돌,36 08 34.1,127 03 24.9,,,10060,10060,척추골절(L1)
