접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1249,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-08-01,2019-10-09,방생,충청남도 보령시 청라면 의평리 593,,Unknown,Juvenile,36.97475,126.750028,13,36.38986495,126.6493807,참이슬밥상,충청남도 당진시 송악읍 고대리 39-12,건물옆,어미를 잃음(미아),어미와 유조 8마리가 식당으로 들어온 후 빠져나가는 과정에서 3마리가 낙오됨,36 58 29.1,126 45 00.1,36 23 23.5,126 38 57.5,30,1008,미아
2019-1250,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-08-01,2019-10-09,방생,충청남도 보령시 청라면 의평리 593,,Unknown,Juvenile,36.97475,126.750028,13,36.38986495,126.6493807,참이슬밥상,충청남도 당진시 송악읍 고대리 39-12,건물옆,어미를 잃음(미아),어미와 유조 8마리가 식당으로 들어온 후 빠져나가는 과정에서 3마리가 낙오됨,36 58 29.1,126 45 00.1,36 23 23.5,126 38 57.5,30,1008,미아
2019-1251,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-08-01,2019-10-09,방생,충청남도 보령시 청라면 의평리 593,,Unknown,Juvenile,36.97475,126.750028,13,36.38986495,126.6493807,참이슬밥상,충청남도 당진시 송악읍 고대리 39-12,건물옆,어미를 잃음(미아),어미와 유조 8마리가 식당으로 들어온 후 빠져나가는 과정에서 3마리가 낙오됨,36 58 29.1,126 45 00.1,36 23 23.8,126 38 56.6,30,1008,미아
2019-0761,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-06-13,2019-06-14,안락사,,기타,Unknown,Juvenile,36.984556,126.586,28,,,,충청남도 당진시 석문면 통정리 621-14,도로변,차량과의 충돌,"차량충돌 추정, 도로 중앙선에서 발견됨",36 59 04.4,126 35 09.6,,,104,98,척추 골절
2019-0762,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-06-13,2019-06-14,안락사,,기타,Unknown,Juvenile,36.985583,126.585667,38,,,,충청남도 당진시 석문면 통정리 621-14,농경지,차량과의 충돌,"차량충돌 추정, 도로 중앙선에서 발견됨",36 59 08.1,126 35 08.4,,,70,70,척추 골절
2019-1313,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-08-18,2019-08-19,DOA,,기타,Unknown,Juvenile,36.889583,126.826722,1,,,해변 공원 내,충청남도 당진시 신평면 운정리 187-16,도로변,기아 및 탈진,기아 및 탈진,36 53 22.5,126 49 36.2,,,270,270,기아 및 탈진
2019-1506,큰재갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-10-12,2019-10-12,DOA,,기타,Unknown,Juvenile,36.879,126.824472,8,,,주소지 부근 실외 야구연습장,충청남도 당진시 신평면 운정리 822,"강, 바다",전선/건물과의 충돌,인공구조물(그물망)에 충돌,36 52 44.4,126 49 28.1,,,898,898,충돌에 의한 뇌진탕
2019-0090,오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2019-02-20,2019-02-22,DOA,,기타,Female,Adult,37.020528,126.527944,12,,,,충청남도 당진시 석문면 교로리 557-59,건물옆,전선/건물과의 충돌,유리창 충돌,37 01 13.9,126 31 40.6,,,58,58,충돌로 인한 뇌진탕
2019-0011,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2018-12-29,2019-01-04,폐사체,,기타,Unknown,Adult,37.032639,126.509611,2,,,논 근처(추정),충청남도 당진시 석문면 교로리 1490,농경지,총상,"밀렵단속중 발견,18-1289 쇠기러기와 함께 발견된 폐사체",37 01 57.5,126 30 34.6,,,270,270,"총상과 그로 인한 양측 대퇴골, 우측 척골 원위부 골절"
2019-0012,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2018-12-29,2019-01-04,폐사체,,기타,Unknown,Adult,37.032639,126.509611,2,,,논 근처(추정),충청남도 당진시 석문면 교로리 1490,농경지,총상,"밀렵단속중 발견,18-1289 쇠기러기와 함께 발견된 폐사체",37 01 57.5,126 30 34.6,,,260,260,총상으로 인한 다발성 골절
