접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1266,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-08-03,2019-08-05,폐사,,기타,Unknown,Nestling,36.244056,126.583083,35,,,주소지 확실치 않음,충청남도 보령시 웅천읍 두룡리 539-2,숲,어미를 잃음(미아),어미를 잃음 ,36 14 38.6,126 34 59.1,,,14,14,기력 쇠약
2019-1054,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-07-15,2019-07-15,안락사,,기타,Unknown,Juvenile,36.315111,126.512083,8,,,대천해수욕장 부근 건물 옆 ,충청남도 보령시 신흑동 2284-4 ,건물옆,전선/건물과의 충돌,전선/또는 건물과의 충돌 후 시간이 경과한 것으로 보임,36 18 54.4,126 30 43.5,,,232,232,좌측 견관절 탈구
2019-1125,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-07-23,2019-08-13,안락사,,기타,Unknown,Adult,36.322278,126.526389,31,,,대천해수욕장,충청남도 보령시 신흑동 2107,"강, 바다",전선/건물과의 충돌,추후 기재,36 19 20.2,126 31 35.0,,,524,504,충돌에 의한 좌측 상완골 개방골절
2019-1141,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-07-25,2019-09-10,방생,충청남도 서산시 고북면 사기리 1109,,Unknown,Juvenile,36.327083,126.511472,0,36.65738637,126.4599809,(대천항중앙길 46) 유람선터미널 부근,충청남도 보령시 신흑동 2240-12,건물옆,전선/건물과의 충돌,전선 충돌 추정,36 19 37.5,126 30 41.3,36 39 23.1,126 27 04.3,408,444,충돌에 의한 우측 요척골 원위부 폐쇄골절
2019-1339,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-08-24,2019-09-01,폐사,,기타,Unknown,Juvenile,36.305611,126.516111,9,,,대천해수욕장,충청남도 보령시 신흑동 2267-3,"강, 바다",전선/건물과의 충돌,전선 충돌 추정,36 18 20.2,126 30 58.0,,,468,386,기아 및 탈진
2019-1359,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-08-30,2019-09-02,안락사,,기타,Unknown,Unknown,36.311611,126.512833,8,,,,충청남도 보령시 신흑동  2107,"강, 바다",전선/건물과의 충돌,전선충돌 추정,36 18 41.8,126 30 46.2,,,530,454,"충돌에 의한 우측 날개 신경 손상(추정) 및 흉근 피부 열상, 좌측 견갑골 골절"
2019-0804,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-06-18,2019-07-23,방생,충청남도 예산군 예산읍 주교리 488-7  ,,Unknown,Juvenile,36.342917,126.589722,3,36.68204499,126.8204893,보령 시외버스터미널 인근 택시승강장,충청남도 보령시 궁촌동 347-1,건물옆,알 수 없는 사고,알 수 없는 사고,36 20 34.5,126 35 23.0,36 40 59.7,126 49 13.3,144,196,충돌 추정
2019-0740,가마우지,조강(Aves),사다새목,가마우지과,해당없음,해당없음,해당없음,2019-06-12,2019-09-10,방생,충청남도 서산시 인지면 산동리 939,,Unknown,Unknown,36.347444,126.595222,7,36.69863217,126.4515462,,충청남도 보령시 대천동 260-3,건물옆,전선/건물과의 충돌,전선 충돌 추정,36 20 50.8,126 35 42.8,36 41 54.9,126 27 05.3,1314,1692,좌측 경비골 폐쇄골절
2019-1228,가마우지,조강(Aves),사다새목,가마우지과,해당없음,해당없음,해당없음,2019-07-30,2019-07-30,안락사,,기타,Unknown,Unknown,36.384389,126.492056,5,,,신보령화력사업소,충청남도 보령시 주교면 송도길 201,기타,전선/건물과의 충돌,전선충돌로 추정,36 23 03.8,126 29 31.4,,,1154,1154,좌측 요척골 진구성 개방골절 후 부정유합
2019-0354,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-05-05,2019-05-06,DOA,,기타,Unknown,Nestling,36.346639,126.600139,9,,,(희망2길 96-12) 희망공원 내,충청남도 보령시 동대동 1341,건물옆,어미를 잃음(미아),성장 과정에서 자연스럽게 나타난 장애에 의한 도태 (추정),36 20 47.9,126 36 00.5,,,110,110,성장 과정에서 자연스럽게 나타난 장애에 의한 도태
