접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1491,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-10-05,2019-10-07,폐사체,,기타,Unknown,Juvenile,36.266528,126.931222,18,,,주소지 부근 농경지 ,충청남도 부여군 부여읍 중정리 106,농경지,인공구조물 침입·고립,인공구조물 끼임 추정,36 15 59.5,126 55 52.4,,,310,310,우측 슬관절 탈구 및 좌측 대퇴골 탈구
2019-0185,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-03-29,2019-03-29,폐사체,,기타,Unknown,Unknown,36.298611,126.936972,12,,,,충청남도 부여군 부여읍 정동리 440-9,도로변,전선/건물과의 충돌,방음벽 충돌 추정,36 17 55.0,126 56 13.1,,,248,248,방음벽 충돌 개체
2019-1492,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-10-07,2019-10-07,안락사,,기타,Unknown,Unknown,36.285694,126.909167,20,,,(나루터로 37) 주소지 부근,충청남도 부여군 부여읍 구아리 99,건물옆,바이러스 감염,폭스 바이러스 감염 ,36 17 08.5,126 54 33.0,,,0,0,폭스바이러스 중감염
2019-1567,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-10-26,2019-11-27,방생,충청남도 예산군 예산읍 향천리 54,,Unknown,Nestling,36.326111,126.740056,148,36.69009433,126.8626875,밤나무 산,충청남도 부여군 외산면 화성리 652-3,숲,어미를 잃음(미아),미아,36 19 34.0,126 44 24.2,36 41 24.0,126 51 46.1,66,171,미아
2019-1568,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-10-26,2019-11-27,방생,충청남도 예산군 예산읍 향천리 54,,Unknown,Nestling,36.326111,126.740056,148,36.69009433,126.8626875,밤나무 산,충청남도 부여군 외산면 화성리 652-3,숲,어미를 잃음(미아),미아,36 19 34.0,126 44 24.2,36 41 24.0,126 51 46.1,64,168,미아
2019-0316,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-04-30,2019-05-05,폐사,,기타,Unknown,Adult,36.307972,126.897306,30,,,한국전통문화대학 화장실 내부,충청남도 부여군 규암면 합정리 430 ,건물옆,전선/건물과의 충돌,화장실 유리창 충돌,36 18 28.7,126 53 50.3,,,62,50,건물 충돌에 의한 가벼운 뇌진탕
2019-0317,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-04-30,2019-05-02,폐사체,,기타,Unknown,Adult,36.307972,126.897306,30,,,한국전통문화대학 화장실 내부,충청남도 부여군 규암면 합정리 430 ,건물옆,전선/건물과의 충돌,화장실 유리창 충돌,36 18 28.7,126 53 50.3,,,76,76,건물 충돌 개체
2019-0884,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-06-27,2019-07-06,방생,충청남도 예산군 예산읍 향천리 56-1 ,,Unknown,Juvenile,36.281389,126.817944,47,36.69042881,126.8620524,,충청남도 부여군 은산면 내지리 311-3,건물옆,어미를 잃음(미아),다른 동배 개체들 이소 후에도 둥지에 남아있음,36 16 53.0,126 49 04.6,36 41 24.8,126 51 43.6,12,16,동배 이소 후에도 둥지에 잔류
2019-1659,흰배지빠귀,조강(Aves),참새목,지빠귀과,해당없음,해당없음,해당없음,2019-11-23,2019-11-23,폐사체,,기타,Unknown,Unknown,36.230639,126.873611,46,,,,충청남도 부여군 장암면 합곡리 66-8,농경지,전선/건물과의 충돌,충돌 추정,36 13 50.3,126 52 25.0,,,54,54,충돌 추정 개체
2019-0858,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2019-06-24,2019-06-24,폐사체,,기타,Unknown,Unknown,36.276806,126.786944,47,,,,충청남도 부여군 내산면 운치리 324-5,도로변,전선/건물과의 충돌,도로 방음벽 충돌,36 16 36.5,126 47 13.0,,,18,18,방음벽 충돌 개체
