접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1038,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-07-13,2019-08-08,폐사,,기타,Unknown,Juvenile,36.630667,126.378417,28,,,서산버드랜드 내,충청남도 서산시 부석면 창리  5-1,건물옆,알 수 없는 사고,"원인파악 불가, 서산버드랜드 방문객이 구조 후 사무소에 전달",36 37 50.4,126 22 42.3,,,222,380,양측 부척골 폐쇄골절
2019-1447,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-09-24,2019-09-24,폐사체,,기타,Male,Juvenile,36.771944,126.434,34,,,(공림4로 19) 주소지 부근 건물 옆,충청남도 서산시 예천동 617-4,건물옆,전선/건물과의 충돌,건물 유리창과 충돌 ,36 46 19.0,126 26 02.4,,,1152,1152,유리창 충돌 개체
2019-1048,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-07-14,2019-07-14,안락사,,기타,Unknown,Adult,36.966306,126.335917,3,,,벌천포해수욕장,충청남도 서산시 대산읍 오지리 317-30,"강, 바다",전선/건물과의 충돌,전선과의 충돌 추정,36 57 58.7,126 20 09.3,,,424,424,"우측 상완골 진구성 개방골절, malunion"
2019-1209,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-07-28,2019-08-07,안락사,,기타,Unknown,Juvenile,36.626194,126.363056,1,,,서산B지구 방조재 도로변,충청남도 서산시 부석면 창리 338,도로변,차량과의 충돌,차량과의 충돌 추정,36 37 34.3,126 21 47.0,,,400,386,좌측 요골 및 척골 개방골절/좌측 대퇴골 골절
2019-0028,물닭,조강(Aves),두루미목,뜸부기과,해당없음,해당없음,해당없음,2019-01-10,2019-01-10,폐사체,,기타,Unknown,Adult,36.662306,126.362139,-1,,,,충청남도 서산시 부석면 마룡리 925,도로변,차량과의 충돌,차량충돌 추정,36 39 44.3,126 21 43.7,,,446,446,차량충돌 추정 개체
2019-0029,물닭,조강(Aves),두루미목,뜸부기과,해당없음,해당없음,해당없음,2019-01-10,2019-01-10,폐사체,,기타,Unknown,Adult,36.662306,126.362139,-1,,,,충청남도 서산시 부석면 마룡리 925,도로변,차량과의 충돌,차량충돌 추정,36 39 44.3,126 21 43.7,,,396,396,차량충돌 추정 개체
2019-0964,큰오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2019-07-04,2019-07-31,방생,충청남도 서산시 읍내동 562-14  ,,Female,Unknown,36.7835,126.445028,52,36.79061142,126.4453966,미니스톱 서산부영점,충청남도 서산시 읍내동 619-1,건물옆,전선/건물과의 충돌,편의점 유리창 충돌,36 47 00.6,126 26 42.1,36 47 25.8,126 26 43.1,100,102,충돌에 의한 우측 견갑골 폐쇄골절과 내상(추정)
2019-0200,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-04-05,2019-04-22,방생,충청남도 예산군 예산읍 주교리 460,,Unknown,Nestling,36.786083,126.509222,40,36.68211144,126.8223162,현대빌라,충청남도 서산시 음암면 도당리 1550-98,건물옆,어미를 잃음(미아),둥지에서 이탈해 어미를 잃음,36 47 09.9,126 30 33.2,36 40 50.7,126 49 19.6,166,174,미아
2019-0380,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-05-08,2019-05-09,안락사,,기타,Unknown,Juvenile,36.83525,126.479222,55,,,공장 내 녹지,충청남도 서산시 성연면 갈현리 703-4,건물옆,전선/건물과의 충돌,건물 유리창 충돌 추정,36 50 06.9,126 28 45.2,,,166,166,충돌에 의한 뇌진탕 및 내부장기 손상(추정)
2019-0381,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-05-08,2019-05-24,안락사,,기타,Unknown,Juvenile,36.83525,126.479222,55,,,공장 내 녹지,충청남도 서산시 성연면 갈현리 703-4,건물옆,전선/건물과의 충돌,건물 유리창 충돌 추정,36 50 06.9,126 28 45.2,,,146,136,충돌에 의한 우측 오훼골 골절
