접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-0023,쇠기러기,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-01-09,2019-01-31,안락사,,기타,Unknown,Adult,36.184056,126.549611,0,,,"부사호 주변 농경지, 주소 정확하지 않음",충청남도 서천군 서면 부사리 564,농경지,총상,총상,36 11 02.6,126 32 58.6,,,2298,2038,우측 날개 proximal phalanx(2nd digit) 개방골절
2019-0560,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-26,2019-07-23,방생,충청남도 예산군 대흥면 대야리  산 12-11,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근 ,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0561,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0562,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0563,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0564,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0565,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0566,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0567,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0568,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-07-23,방생,충청남도 예산군 대흥면 대야리 산 12-11 ,,Unknown,Nestling,36.120028,126.792556,30,36.61315107,126.8137242,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,36 36 46.8,126 48 48.6,16,208,"인공부화 개체, splayed legs"
2019-0569,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2019-05-27,2019-06-03,폐사,,기타,Unknown,Nestling,36.120028,126.792556,30,,,(한마로 456-51) 마산면문화활력소 부근,충청남도 서천군 마산면 신장리 371-1,숲,어미를 잃음(미아),어미를 잃음,36 07 12.1,126 47 33.2,,,16,50,"인공부화 개체, splayed legs"
