접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1706,쇠기러기,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-12-09,2019-12-09,안락사,,기타,Unknown,Adult,36.794639,126.880556,13,,,송전탑 아래,충청남도 아산시 선장면 신동리 97-5,전선,전선/건물과의 충돌,전선 충,36 47 40.7,126 52 50.0,,,2050,2050,좌측 날개 상완골 이하 절단 소실
2019-0640,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0641,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0642,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0643,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0644,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0645,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0646,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0647,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
2019-0648,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-03,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.738167,126.860278,20,36.65922437,126.8117789,(벚꽃로708번길 3) 건물 앞 마당,충청남도 아산시 도고면 효자리 174-5 ,건물옆,어미를 잃음(미아),부화 후 이동하는 과정에서 어미를 잃음 ,36 44 17.4,126 51 37.0,36 39 32.9,126 48 42.4,26,150,단순 미아
