접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-0046,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-01-22,2019-01-31,안락사,,기타,Unknown,Adult,36.552361,126.774833,28,,,광시한우공원 내 인공 호수,충청남도 예산군 광시면 광시리 48,"강, 바다",인공구조물에 얽힘,인공호수에 설치한 그물에 얽힘 ,36 33 08.5,126 46 29.4,,,1004,978,그물에 얽힌 개체
2019-0749,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-12,2019-08-09,방생,충청남도 예산군 대흥면 손지리 542,,Unknown,Nestling,36.681194,126.732444,14,36.65922437,126.8117789,주소지 부근 농경지,충청남도 예산군 삽교읍 신가리 148-6,농경지,부적절한 사육,부적절한 사육(임의적으로 알을 습득한 후 부화시켜 발생한 미아),36 40 52.3,126 43 56.8,36 39 32.9,126 48 42.4,27,150,단순 미아
2019-0750,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-12,2019-08-19,방생,충청남도 예산군 대흥면 손지리563 ,,Unknown,Nestling,36.681194,126.732444,14,36.66147179,126.8125188,주소지 부근 농경지,충청남도 예산군 삽교읍 신가리 148-6,농경지,부적절한 사육,부적절한 사육(임의적으로 알을 습득한 후 부화시켜 발생한 미아),36 40 52.3,126 43 56.8,36 39 41.3,126 48 44.7,27,842,단순 미아
2019-0751,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-12,2019-08-19,방생,충청남도 예산군 대흥면 손지리 563,,Unknown,Nestling,36.681194,126.732444,14,36.66147179,126.8125188,주소지 부근 농경지,충청남도 예산군 삽교읍 신가리 148-6,농경지,부적절한 사육,부적절한 사육(임의적으로 알을 습득한 후 부화시켜 발생한 미아),36 40 52.3,126 43 56.8,36 39 41.2,126 48 44.7,27,820,단순 미아
2019-0752,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-12,2019-08-19,방생,충청남도 예산군 대흥면 손지리 563,,Unknown,Nestling,36.681194,126.732444,14,36.66147179,126.8125188,주소지 부근 농경지,충청남도 예산군 삽교읍 신가리 148-6,농경지,부적절한 사육,부적절한 사육(임의적으로 알을 습득한 후 부화시켜 발생한 미아),36 40 52.3,126 43 56.8,36 39 41.2,126 48 44.7,27,838,단순 미아
2019-0753,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-12,2019-08-19,방생,충청남도 예산군 대흥면 손지리563 ,,Unknown,Nestling,36.681194,126.732444,14,36.66147179,126.8125188,주소지 부근 농경지,충청남도 예산군 삽교읍 신가리 148-6,농경지,부적절한 사육,부적절한 사육(임의적으로 알을 습득한 후 부화시켜 발생한 미아),36 40 52.3,126 43 56.8,36 39 41.2,126 48 44.7,27,842,단순 미아
2019-0754,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-12,2019-08-19,방생,충청남도 예산군 대흥면 손지리563,,Unknown,Nestling,36.681194,126.732444,14,36.66147179,126.8125188,주소지 부근 농경지,충청남도 예산군 삽교읍 신가리 148-6,농경지,부적절한 사육,부적절한 사육(임의적으로 알을 습득한 후 부화시켜 발생한 미아),36 40 52.3,126 43 56.8,36 39 41.2,126 48 44.7,27,766,단순 미아
2019-0755,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-12,2019-06-23,폐사,,기타,Unknown,Nestling,36.681194,126.732444,14,,,주소지 부근 농경지,충청남도 예산군 삽교읍 신가리 148-6,농경지,부적절한 사육,부적절한 사육(임의적으로 알을 습득한 후 부화시켜 발생한 미아),36 40 52.3,126 43 56.8,,,27,144,단순 미아
2019-1013,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-07-10,2019-10-09,방생,충청남도 보령시 청라면 의평리 593,,Unknown,Juvenile,36.677389,126.840389,26,36.38986495,126.6493807,,충청남도 예산군 예산읍 예산리 743,도로변,어미를 잃음(미아),미아,36 40 38.6,126 50 25.4,36 23 23.5,126 38 57.5,30,1068,미아
2019-1014,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-07-10,2019-09-25,방생,충청남도 예산군 광시면 장신리 192,,Unknown,Juvenile,36.677389,126.840389,26,36.57010259,126.795221,,충청남도 예산군 예산읍 예산리 743,도로변,어미를 잃음(미아),미아,36 40 38.6,126 50 25.4,36 34 12.4,126 47 41.5,30,1084,미아
