접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-0407,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Female,Adult,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 05.0,126 49 13.3,0,0,아파트 단지 내 고립 개체
2019-0408,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 05.0,126 49 15.0,0,0,아파트 단지 내 고립 개체
2019-0409,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 05.5,126 49 16.9,0,0,아파트 단지 내 고립 개체
2019-0410,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 05.1,126 49 16.4,0,0,아파트 단지 내 고립 개체
2019-0411,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 04.4,126 49 15.0,0,0,아파트 단지 내 고립 개체
2019-0412,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 05.8,126 49 16.7,0,0,아파트 단지 내 고립 개체
2019-0413,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 05.0,126 49 15.2,0,0,아파트 단지 내 고립 개체
2019-0414,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 35.8,126 48 45.6,0,0,아파트 단지 내 고립 개체
2019-0415,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 04.5,126 49 16.2,0,0,아파트 단지 내 고립 개체
2019-0416,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-05-10,2019-05-11,방생,충청남도 예산군 오가면 원평리 28,,Unknown,Juvenile,36.811,127.133389,56,36.66872943,126.821498,아파트 단지 내,충청남도 천안시 동남구 봉명동  청솔3차아파트,건물옆,인공구조물 침입·고립,아파트 단지 내에서 유조 11마리를 데리고 돌아다니는 개체 신고자가 포획,36 48 39.6,127 08 00.2,36 40 04.9,126 49 15.3,0,0,아파트 단지 내 고립 개체
