접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1377,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-09-03,2019-09-03,안락사,,기타,Unknown,Juvenile,36.397778,126.86025,58,,,,충청남도 청양군 대치면 작천리 8-6,도로변,차량과의 충돌,차량충돌 추정,36 23 52.0,126 51 36.9,,,162,162,충돌에 의한 우측 완전골 근위부 개방골절
2019-1158,제비,조강(Aves),참새목,제비과,해당없음,해당없음,해당없음,2019-07-26,2019-07-27,방생,충청남도 청양군 정산면 백곡리 76-1 ,,Unknown,Nestling,36.412389,126.971083,36,36.41238944,126.971038,,충청남도 청양군 정산면 백곡리 76-1,건물옆,추락,둥지째로 추락함,36 24 44.6,126 58 15.9,36 24 44.7,126 58 15.8,0,0,둥지 추락으로 인한 가벼운 부상
2019-1159,제비,조강(Aves),참새목,제비과,해당없음,해당없음,해당없음,2019-07-26,2019-07-27,방생,충청남도 청양군 정산면 백곡리 76-1 ,,Unknown,Nestling,36.412389,126.971083,36,36.41238944,126.971038,,충청남도 청양군 정산면 백곡리 76-1,건물옆,추락,둥지째로 추락함,36 24 44.6,126 58 15.9,36 24 44.7,126 58 15.8,0,0,둥지 추락으로 인한 가벼운 부상
2019-1160,제비,조강(Aves),참새목,제비과,해당없음,해당없음,해당없음,2019-07-26,2019-07-26,폐사체,,기타,Unknown,Nestling,36.412389,126.971083,36,,,,충청남도 청양군 정산면 백곡리 76-1,건물옆,추락,둥지째로 추락함,36 24 44.6,126 58 15.9,,,0,0,둥지 추락 후 폐사
2019-1471,황로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2019-09-28,2019-09-28,안락사,,기타,Unknown,Adult,36.451222,126.79225,95,,,청양소방서(가지점),충청남도 청양군 청양읍 송방리  348,건물옆,전선/건물과의 충돌,충돌 추정,36 27 04.4,126 47 32.1,,,424,424,척추골절 및 좌측 요척골 골절
2019-1163,집박쥐,포유강(Mammalia),박쥐목,애기박쥐과,해당없음,해당없음,해당없음,2019-07-27,2019-09-11,방생,충청남도 청양군 청양읍 읍내리 3-15,,Unknown,0년0월0일,36.453833,126.804528,96,36.45489267,126.8077397,부전빌라 내,충청남도 청양군 청양읍 읍내리 236-2,건물옆,인공구조물 침입·고립,자택 내에서 발견,36 27 13.8,126 48 16.3,36 27 18.3,126 48 26.0,3,4,인가 침입
2019-0626,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-05-31,2019-05-31,안락사,,기타,Male,0년11월0일,36.358056,126.868778,51,,,,충청남도 청양군 장평면 화산리 23-1,도로변,차량과의 충돌,차량충돌,36 21 29.0,126 52 07.6,,,14360,14360,충돌에 의한 천추 골절 및 좌측 대퇴골 개방골절
2019-1235,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-07-31,2019-09-10,방생,충청남도 아산시 송악면 동화리 734 ,,Male,0년3월0일,36.434583,126.850806,148,36.73233832,126.9664151,광대리 이하 세부 주소 누락,충청남도 청양군 대치면 광대리 ,건물옆,덫,원인 파악 필요덫으로 추정함,36 26 04.5,126 51 02.9,36 43 56.2,126 57 59.0,1660,2560,우측 전지 부종
2019-1693,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-12-04,2019-12-04,폐사체,,기타,Unknown,0년0월0일,36.39075,126.774194,123,,,,충청남도 청양군 남양면 대봉리 산 58-1,농경지,인공구조물에 얽힘,밭그물에 얽힘,36 23 26.7,126 46 27.1,,,0,0,승저증
2020-0916,큰오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2020-06-18,2020-06-18,폐사체,,기타,Unknown,Unknown,36.494083,126.788833,67,,,주소지 도로 방음벽,충청남도 청양군 비봉면 사점리 374-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 29 38.7,126 47 19.8,,,0,0,방음벽에 충돌하여 폐사 
