접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-0150,쇠기러기,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-03-17,2019-03-18,폐사체,,기타,Unknown,Adult,36.687417,126.289667,19,,,공사장 주변 도로,충청남도 태안군 남면 신장리 499-1,도로변,차량과의 충돌,차량충돌 추정,36 41 14.7,126 17 22.8,,,0,0,차량충돌 추정
2019-0690,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-07,2019-06-08,DOA,,기타,Unknown,Nestling,36.497167,126.335278,0,,,꽃지해수욕장,충청남도 태안군 안면읍 승언리 ,"강, 바다",어미를 잃음(미아),어미를 잃음(미아),36 29 49.8,126 20 07.0,,,24,24,미아
2019-0915,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2019-06-30,2019-07-01,DOA,,기타,Unknown,Juvenile,36.501694,126.335278,8,,,꽃지해수욕장 주차장,충청남도 태안군 안면읍 승언리 339-180,"강, 바다",어미를 잃음(미아),꽃지해수욕장 주차장에서 발견,36 30 06.1,126 20 07.0,,,18,18,미아
2019-0631,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-05-31,2019-06-16,안락사,,기타,Female,Adult,36.826528,126.16075,3,,,의항해수욕장,충청남도 태안군 소원면 의항리 산 81-1,"강, 바다",자연적 사고,자연적으로 생긴 종양,36 49 35.5,126 09 38.7,,,340,394,흑색종(melanoma)
2019-1060,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-07-16,2019-07-16,안락사,,기타,Unknown,Adult,36.509278,126.348528,6,,,주소지 부근 건물 옆,충청남도 태안군 안면읍 승언리 339-358 ,건물옆,전선/건물과의 충돌,인공구조물과의 충돌 추정 ,36 30 33.4,126 20 54.7,,,418,418,우측 상완골 개방골절 및 골절부 이하 피부 괴사
2019-1131,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-07-24,2019-07-31,방생,충청남도 서산시 부석면 창리 274-10,,Unknown,Adult,36.487833,126.334417,0,36.6227046,126.3745486,리솜오션캐슬 앞 해수욕장,충청남도 태안군 안면읍 중장리 765-166,"강, 바다",인공구조물에 얽힘,낚싯줄에 다리 얽힘,36 29 16.2,126 20 03.9,36 37 19.0,126 22 26.0,430,490,낚싯줄 얽힌 개체
2019-1314,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-08-17,2019-08-19,DOA,,기타,Unknown,Juvenile,36.458139,126.333667,2,,,해안가,충청남도 태안군 안면읍 신야리 725-5,"강, 바다",전선/건물과의 충돌,전선 충돌 추정,36 27 29.3,126 20 01.2,,,0,0,좌측 요척골 개방골절
2019-0320,꺅도요,조강(Aves),도요목,도요과,해당없음,해당없음,해당없음,2019-05-02,2019-05-02,폐사체,,기타,Unknown,Adult,36.813222,126.274944,1,,,,충청남도 태안군 원북면 청산리 658,도로변,차량과의 충돌,차량충돌 추정,36 48 47.6,126 16 29.8,,,0,0,로드킬 개체
2019-0153,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-03-20,2019-03-20,DOA,,기타,Unknown,Unknown,36.679,126.276722,36,,,,충청남도 태안군 남면 몽산리 249-3,건물옆,전선/건물과의 충돌,유리창 충돌 추정,36 40 44.4,126 16 36.2,,,256,256,충돌로 인한 내부장기 손상
2019-0361,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-05-06,2019-05-28,방생,충청남도 예산군 대흥면 갈신리 산 53,,Unknown,Nestling,36.782639,126.27775,32,36.66606467,126.8663143,해송마을아파트 내 길가,충청남도 태안군 태안읍 삭선리 281-25,건물옆,어미를 잃음(미아),미아,36 46 57.5,126 16 39.9,36 39 57.7,126 51 58.8,118,176,우측 경비골 폐쇄골절
