접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,구조위도(TM구조위도),구조경도(TM구조경도),방생위도(TM방생위도),방생경도(TM방생경도),등록체중,현재체중,임상적최종진단
2019-0154,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2019-03-20,2019-03-20,안락사,,기타,Unknown,Adult,36.533889,126.481778,4,,,남해수산 앞,충청남도 홍성군 서부면 남당리 160-159,건물옆,전선/건물과의 충돌,전선 충돌로 추정,36 32 02.0,126 28 54.4,,,386,386,우측 요척골 개방골절
2019-0490,알락도요,조강(Aves),도요목,도요과,해당없음,해당없음,해당없음,2019-05-17,2019-05-18,DOA,,기타,Unknown,Unknown,36.504694,126.625139,16,,,읍사무소 앞,충청남도 홍성군 광천읍 신진리 411-40,도로변,알 수 없는 사고,어딘가에 걸려 날개 죽지 피부가 찢어진 듯함,36 30 16.9,126 37 30.5,,,84,84,우측 어깻죽지 피부 광범위한 열상
2019-0392,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-05-09,2019-06-09,폐사,,기타,Unknown,Juvenile,36.601528,126.664333,31,,,톰스피자 가게,충청남도 홍성군 홍성읍 아문길29번길 51 (오관리),건물옆,어미를 잃음(미아),미아(재확인 필요),36 36 05.5,126 39 51.6,,,160,178,충돌 개체
2019-0810,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-06-19,2019-07-23,방생,충청남도 예산군 예산읍 주교리 488-7  ,,Unknown,Nestling,36.592861,126.664333,56,36.68204499,126.8204893,,충청남도 홍성군 홍성읍 남장리 108-3,도로변,어미를 잃음(미아),도로변에서 구조,36 35 34.3,126 39 51.6,36 40 58.4,126 49 13.8,60,142,미아
2019-0935,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-07-03,2019-08-14,방생,충청남도 예산군 대흥면 갈신리 1,,Unknown,Juvenile,36.599083,126.648139,51,36.66816249,126.8644697,음식점 건물 옆,충청남도 홍성군 홍성읍 월산리 840-2,건물옆,전선/건물과의 충돌,음식점 유리창에 충돌함,36 35 56.7,126 38 53.3,36 39 58.4,126 51 47.2,158,198,"충돌에 의한 내상 및 흉골 골절, 우측 metacarpophalangeal joint 탈구"
2019-1198,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Juvenile,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-1225,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-07-30,2019-08-22,방생,충청남도 예산군 예산읍 산성리 275-56,,Unknown,Juvenile,36.597889,126.662472,31,36.69222391,126.8230438,카센터 건물옆,충청남도 홍성군 홍성읍 문화로 117,건물옆,전선/건물과의 충돌,카센타 옆에서 발견. 날지 못하는 유조를 발견해 이틀간 길렀음.건물 충돌 추정,36 35 52.4,126 39 44.9,36 41 31.8,126 49 23.6,170,192,충돌에 의한 쇄골 및 흉골 골절
2019-1634,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-11-18,2020-01-21,방생,충청남도 예산군 오가면 신장리 970,,Unknown,Unknown,36.594667,126.653194,39,36.66374123,126.8121916,회관 맞은편 도로,충청남도 홍성군 홍성읍 옥암리 산 114-1,도로변,전선/건물과의 충돌,건물충돌 추정,36 35 40.8,126 39 11.5,36 39 51.9,126 48 42.0,240,210,우측 오훼골 골절
2019-1701,집비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2019-12-05,2019-12-05,DOA,,기타,Unknown,Adult,36.593333,126.673389,38,,,주차장 부근,충청남도 홍성군 홍성읍 충절로953번길 20,건물옆,전선/건물과의 충돌,,36 35 36.0,126 40 24.2,,,202,208,우측 척골 팔꿈치머리 골절/우측 어깨관절 탈구
2019-0349,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-05-05,2019-05-15,방생,충청남도 아산시 염치읍 대동리 264-1 ,,Unknown,Juvenile,36.599861,126.650722,45,36.82550994,127.0329023,정수닭집 ,충청남도 홍성군 홍성읍 법원로 22 ,건물옆,인공구조물 침입·고립,인공구조물 고립,36 35 59.5,126 39 02.6,36 49 31.3,127 01 58.6,188,206,인공구조물에 고립된 미아 개체
2019-0359,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-05-06,2019-05-06,방생,충청남도 홍성군 홍성읍 대교리 443-33,,Unknown,Juvenile,36.6065,126.664028,37,36.60656455,126.6639616,,충청남도 홍성군 홍성읍 대교리 443-33,건물옆,어미를 잃음(미아),이소 과정에서 발견됨,36 36 23.4,126 39 50.5,36 36 23.4,126 39 50.6,0,0,이소 단계의 미아
2019-0370,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-05-07,2019-05-14,폐사,,기타,Unknown,Juvenile,36.599611,126.651306,44,,,파리바게트 옆,충청남도 홍성군 홍성읍 월산리 899,건물옆,"개, 고양이 공격",고양이 공격,36 35 58.6,126 39 04.7,,,118,100,고양이 공격을 받은 어린 개체
2019-0387,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-05-08,2019-05-09,안락사,,기타,Unknown,Juvenile,36.650417,126.671972,31,,,내포중학교 앞 화단,충청남도 홍성군 홍북읍 홍학로 41,건물옆,어미를 잃음(미아),미아,36 39 01.5,126 40 19.1,,,150,150,척추 골절
2019-1199,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Unknown,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-1200,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Unknown,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-1140,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2019-07-25,2019-08-03,폐사,,기타,Unknown,Juvenile,36.625833,126.729972,42,,,(충서로2233번길 22) 건물 주변,충청남도 홍성군 금마면 부평리 265-8,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 37 33.0,126 43 47.9,,,110,112,충돌 추락
2019-0974,꾀꼬리,조강(Aves),참새목,꾀꼬리과,해당없음,해당없음,해당없음,2019-07-05,2019-07-05,폐사체,,기타,Female,Adult,36.573194,126.663472,51,,,,충청남도 홍성군 홍성읍 학계리 346-1,도로변,전선/건물과의 충돌,방음벽 충돌 폐사체,36 34 23.5,126 39 48.5,,,70,70,방음벽 충돌
2019-0221,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-04-12,2019-04-12,DOA,,기타,Unknown,Unknown,36.633222,126.546361,59,,,주소지 부근 비닐하우스,충청남도 홍성군 갈산면 대사리 342-5 ,농경지,끈끈이,쥐를 포획하기 위해 설치한 쥐끈끈이에 붙음,36 37 59.6,126 32 46.9,,,11,0,끈끈이 깃 오염
2019-1197,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Unknown,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-1193,붉은머리오목눈이,조강(Aves),참새목,붉은머리오목눈이과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Unknown,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-1194,붉은머리오목눈이,조강(Aves),참새목,붉은머리오목눈이과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Unknown,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-1195,붉은머리오목눈이,조강(Aves),참새목,붉은머리오목눈이과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Unknown,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-1196,붉은머리오목눈이,조강(Aves),참새목,붉은머리오목눈이과,해당없음,해당없음,해당없음,2019-07-27,2019-07-27,폐사체,,기타,Unknown,Unknown,36.635056,126.538611,34,,,도로 방음벽,충청남도 홍성군 갈산면 취생리 202-1,도로변,전선/건물과의 충돌,방음벽 충돌,36 38 06.2,126 32 19.0,,,0,0,방음벽 충돌
2019-0400,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-10,2019-05-10,방생,충청남도 홍성군 홍성읍 학계리 339-7,,Unknown,Nestling,36.577556,126.660306,66,36.57573185,126.6636374,원룸 환풍구 안 ,충청남도 홍성군 홍성읍 학계리 339-7,기타,어미를 잃음(미아),어미를 잃음,36 34 39.2,126 39 37.1,36 34 31.7,126 39 49.8,16,16,미아
2019-0401,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-10,2019-05-10,방생,충청남도 홍성군 홍성읍 학계리 339-7,,Unknown,Nestling,36.575611,126.663667,69,36.57573185,126.6636374,원룸 환풍구 안,충청남도 홍성군 홍성읍 학계리 339-7,기타,어미를 잃음(미아),어미를 잃음,36 34 32.2,126 39 49.2,36 34 31.5,126 39 49.7,16,16,미아
2019-0402,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-10,2019-05-10,방생,충청남도 홍성군 홍성읍 학계리 339-7,,Unknown,Nestling,36.575611,126.663667,69,36.57573185,126.6636374,원룸 환풍구 안,충청남도 홍성군 홍성읍 학계리 339-7,기타,어미를 잃음(미아),어미를 잃음,36 34 32.2,126 39 49.2,36 34 31.5,126 39 49.7,16,16,미아
2019-0403,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-10,2019-05-10,방생,충청남도 홍성군 홍성읍 학계리 339-7,,Unknown,Nestling,36.575611,126.663667,69,36.57573185,126.6636374,원룸 환풍구 안,충청남도 홍성군 홍성읍 학계리 339-7,기타,어미를 잃음(미아),어미를 잃음,36 34 32.2,126 39 49.2,36 34 32.2,126 39 49.2,16,16,미아
2019-0404,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-05-10,2019-05-10,방생,충청남도 홍성군 홍성읍 학계리 339-7,,Unknown,Nestling,36.575611,126.663667,69,36.57573185,126.6636374,원룸 환풍구 안,충청남도 홍성군 홍성읍 학계리 339-7,기타,어미를 잃음(미아),어미를 잃음,36 34 32.2,126 39 49.2,36 34 31.7,126 39 49.7,16,16,미아
2019-1210,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-07-28,2019-08-07,방생,충청남도 예산군 예산읍 대회리1 ,,Unknown,Nestling,36.575417,126.663139,65,36.67008139,126.8596661,오피스텔 환풍구,충청남도 홍성군 홍성읍 학계리 339-9,기타,어미를 잃음(미아),어미를 잃음(미아),36 34 31.5,126 39 47.3,36 40 14.7,126 51 46.2,14,13,미아
2019-1211,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-07-28,2019-07-31,폐사,,기타,Unknown,Nestling,36.575417,126.663139,65,,,오피스텔,충청남도 홍성군 홍성읍 학계리 339-9,기타,어미를 잃음(미아),어미를 잃음(미아),36 34 31.5,126 39 47.3,,,14,10,좌측 경비골 원위부 골절 후 유합
2019-1212,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-07-28,2019-07-28,폐사체,,기타,Unknown,Nestling,36.575417,126.663139,65,,,오피스텔,충청남도 홍성군 홍성읍 학계리 339-9,기타,어미를 잃음(미아),어미를 잃음(미아),36 34 31.5,126 39 47.3,,,15,15,원인불명
2019-1213,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2019-07-28,2019-07-28,폐사체,,기타,Unknown,Nestling,36.575417,126.663139,65,,,오피스텔,충청남도 홍성군 홍성읍 학계리 339-9,기타,어미를 잃음(미아),어미를 잃음(미아),36 34 31.5,126 39 47.3,,,16,16,원인불명
