id,count
GR3_F2K34_Y,1
GR3_F2K43_U,3
GR3_F2O11_O,3
GR3_F2O11_S,2
GR3_F2O11_T,1
GR3_F2O11_W,5
GR3_F2O11_X,8
GR3_F2O12_C,3
GR3_F2O12_D,3
GR3_F2O12_E,1
GR3_F2O12_I,2
GR3_F2O12_K,2
GR3_F2O12_L,2
GR3_F2O12_O,1
GR3_F2O12_P,1
GR3_F2O12_Q,2
GR3_F2O12_R,2
GR3_F2O12_S,4
GR3_F2O12_T,1
GR3_F2O12_U,2
GR3_F2O12_V,1
GR3_F2O12_W,3
GR3_F2O12_X,18
GR3_F2O12_Y,28
GR3_F2O13_I,1
GR3_F2O14_A,4
GR3_F2O14_B,2
GR3_F2O14_D,2
GR3_F2O14_E,2
GR3_F2O14_F,3
GR3_F2O14_I,1
GR3_F2O14_K,1
GR3_F2O14_L,1
GR3_F2O14_M,9
GR3_F2O14_N,1
GR3_F2O14_O,1
GR3_F2O14_Q,4
GR3_F2O14_R,1
GR3_F2O14_T,1
GR3_F2O14_V,7
GR3_F2O14_W,7
GR3_F2O14_Y,1
GR3_F2O21_A,1
GR3_F2O21_B,1
GR3_F2O21_D,4
GR3_F2O21_E,3
GR3_F2O21_G,3
GR3_F2O21_H,14
GR3_F2O21_I,11
GR3_F2O21_J,3
GR3_F2O21_K,1
GR3_F2O21_L,5
GR3_F2O21_M,14
GR3_F2O21_N,1
GR3_F2O21_O,2
GR3_F2O21_P,1
GR3_F2O21_Q,9
GR3_F2O21_S,1
GR3_F2O21_T,2
GR3_F2O21_U,1
GR3_F2O21_W,3
GR3_F2O21_X,1
GR3_F2O21_Y,1
GR3_F2O22_A,4
GR3_F2O22_B,1
GR3_F2O22_F,4
GR3_F2O22_G,3
GR3_F2O22_I,1
GR3_F2O22_K,7
GR3_F2O22_L,15
GR3_F2O22_M,10
GR3_F2O22_N,9
GR3_F2O22_O,9
GR3_F2O22_P,2
GR3_F2O22_R,8
GR3_F2O22_S,6
GR3_F2O22_T,8
GR3_F2O22_V,13
GR3_F2O22_W,12
GR3_F2O22_X,13
GR3_F2O22_Y,33
GR3_F2O23_A,10
GR3_F2O23_B,1
GR3_F2O23_D,2
GR3_F2O23_E,1
GR3_F2O23_G,9
GR3_F2O23_H,2
GR3_F2O23_I,32
GR3_F2O23_J,4
GR3_F2O23_K,2
GR3_F2O23_M,2
GR3_F2O23_N,9
GR3_F2O23_O,4
GR3_F2O23_P,2
GR3_F2O23_Q,2
GR3_F2O23_R,7
GR3_F2O23_S,18
GR3_F2O23_T,1
GR3_F2O23_U,1
GR3_F2O23_V,1
GR3_F2O23_W,2
GR3_F2O23_X,3
GR3_F2O24_A,4
GR3_F2O24_B,10
GR3_F2O24_C,11
GR3_F2O24_D,6
GR3_F2O24_E,16
GR3_F2O24_F,15
GR3_F2O24_G,26
GR3_F2O24_H,41
GR3_F2O24_I,2
GR3_F2O24_J,1
GR3_F2O24_K,10
GR3_F2O24_L,2
GR3_F2O24_M,7
GR3_F2O24_O,2
GR3_F2O24_P,4
GR3_F2O24_R,1
